AttuNet,FCN,PoFormer,LRASPP,E-Net,U-Net
3.135536276,10.5389277,1.759786559,3.226618096,3.156862907,3.206635963
3.86049277,10.98273958,2.477183957,4.289263118,3.383792859,3.932827238
2.877292536,10.77303249,3.608716736,3.282222006,3.164527811,4.958984796
2.757044934,10.6580094,3.424875844,3.115144666,3.121685669,3.362103287
2.763299011,10.91863815,2.84156863,3.522875287,3.144059781,3.072549272
3.321580492,10.29665092,2.346300842,3.277681701,3.635992501,3.071081616
3.243399736,10.58830766,2.040318131,3.335931096,3.858379729,3.45584397
3.128658663,10.38372493,1.867778646,3.256180443,3.02012014,3.03686855
2.946823178,10.49761263,1.90637853,3.034558345,2.910754535,3.012983527
3.105526555,10.16902288,2.176066885,3.43906901,2.950538184,3.282429181
2.867878012,10.19643984,2.261670178,3.857025485,2.816116888,3.516140737
2.603466263,10.25706556,1.981291687,3.205744389,2.784743261,3.697018439
2.60120224,10.68192277,1.88377489,3.191739462,2.807073055,3.037285767
2.704265453,10.24656716,1.779395523,3.430437755,2.868305426,3.385075931
2.964622542,10.21631548,1.979298506,3.318777971,2.986103978,3.382481147
2.996324137,10.96741021,2.309513623,3.133137904,3.145979393,3.188414965
3.6817354,11.72989994,2.149390204,3.089042637,3.639270142,3.281833157
2.816498291,10.59362725,1.806339957,4.163671184,3.843347732,3.993612077
3.570587106,10.15452126,1.741434859,3.208856899,3.059481546,3.394234698
4.37768453,10.30367538,1.730335077,3.177216988,2.859266728,2.921807945
2.805552252,9.981897675,1.814355958,3.008383714,2.741348872,2.999148471
3.187159838,10.71077912,2.655024437,3.138792288,2.802354466,2.843303464
4.619669743,10.53656199,2.440196261,3.216662623,2.882672403,2.828086788
3.713847451,10.52581239,1.857459107,3.105093472,2.81288592,2.978292607
2.699088857,10.02622293,2.490442155,3.036298189,2.889443781,3.973949827
2.53035018,9.888910696,2.287205914,3.36913307,2.842203386,3.035271637
2.510947783,10.12183474,1.87128273,3.264631346,2.744498562,3.279996701
3.546362165,10.04796343,1.93728878,2.936551016,2.783684721,3.459499475
4.933608104,10.41591492,1.802858286,3.178275749,3.002108138,4.771603953
2.927099921,10.19648986,1.952540338,3.269655544,3.249390215,3.124981154
2.789273007,9.943584412,2.006333379,3.926093411,3.149231818,3.718139103
2.776647273,9.833289906,1.833604807,3.246739898,2.907138264,3.858706243
2.65035649,9.969222635,1.76909099,3.178111257,2.79320371,3.34358792
2.436802261,9.890683182,2.256201349,3.064402897,2.695123181,3.829733945
2.377534414,9.971047856,2.158848768,2.958109107,2.756198257,3.717653424
2.575578613,10.08269014,2.065254165,3.078300517,3.098177759,3.007813687
3.08810233,9.930288278,2.191298826,3.037343096,2.963127291,2.741399718
2.621039987,9.986330196,1.81889859,3.105195172,2.885046173,2.847148944
3.564094063,9.763529882,1.799162693,3.203689974,2.976544164,2.920994047
2.990778344,9.779734306,1.63678235,3.282225493,2.893931139,2.760197975
2.791828904,9.843829788,1.699710477,3.385730267,3.070534404,2.626699358
4.317811631,9.574565805,1.633063322,3.227154914,3.080910102,2.767465461
2.879011698,9.961855613,1.673272543,3.171164565,2.958325762,2.94258666
3.134165261,10.03419115,1.653973602,3.502237063,2.886314448,3.21074497
3.020372195,9.942154147,1.639029827,3.053283952,2.709049053,2.818018503
